state,value
Alabama,863.968
Alaska,907.523
Arizona,967.044
Arkansas,1211.332
California,420.389
Colorado,1362.569
Connecticut,506.367
Delaware,898.258
District of Columbia,438.874
Florida,943.311
Georgia,926.448
Hawaii,1513.324
Idaho,160.207
Illinois,812.873
Indiana,1736.525
Iowa,1069.904
Kansas,989.304
Kentucky,1822.171
Louisiana,836.039
Maine,257.747
Maryland,835.748
Massachusetts,727.577
Michigan,1108.304
Minnesota,995.409
Mississippi,916.952
Missouri,1699.6
Montana,1157.104
Nebraska,1406.35
Nevada,744.814
New Hampshire,299.465
New Jersey,500.098
New Mexico,1333.16
New York,417.087
North Carolina,799.572
North Dakota,1505.242
Ohio,1321.468
Oklahoma,889.655
Oregon,313.024
Pennsylvania,784.28
Rhode Island,867.858
South Carolina,630.512
South Dakota,516.812
Tennessee,743.584
Texas,979.062
Utah,1598.008
Vermont,45.127
Virginia,739.345
Washington,198.614
West Virginia,1945.883
Wisconsin,1386.866
Wyoming,2048.399
